RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31
394388,49,"Birmingham, AL",Msa,AL,206683.0,207217.0,215217.0,226800.0,236267.0,239600.0,239900.0,239900.0,238267.0,234633.0,231000.0,229300.0,229600.0,233233.0,239900.0,249900.0,258567.0,265233.0,270267.0,271633.0,272333.0,272033.0,272000.0,269665.0,266598.0,265798.0,267433.0,269100.0,273233.0,278050.0,281917.0,281617.0,276833.0,273965.0,271932.0,273932.0,274633.0,276967.0,278267.0,283267.0,286633.0,288333.0,284967.0,283300.0,283021.0,289103.0
395053,50,"Salt Lake City, UT",Msa,UT,418368.0,423562.0,430900.0,436951.0,444233.0,448283.0,449729.0,447136.0,442138.0,434820.0,429952.0,427489.0,427632.0,431523.0,438984.0,451478.0,462188.0,469185.0,467418.0,462098.0,456886.0,455084.0,455962.0,459567.0,466564.0,478166.0,487055.0,485412.0,481822.0,484365.0,495111.0,500501.0,499742.0,497244.0,502563.0,515057.0,"","","","","","","","","",""
395031,51,"Rochester, NY",Msa,NY,184259.0,191418.0,201655.0,213788.0,222772.0,226853.0,223309.0,216150.0,208992.0,203981.0,199650.0,199650.0,204983.0,216472.0,229035.0,242028.0,249151.0,252337.0,250082.0,244713.0,236123.0,225385.0,217869.0,210746.0,211569.0,220875.0,237197.0,254270.0,263218.0,268336.0,269084.0,268762.0,261603.0,253697.0,246860.0,254019.0,262132.0,276345.0,282567.0,283833.0,274000.0,261667.0,253300.0,246300.0,237933.0,227933.0
394640,52,"Grand Rapids, MI",Msa,MI,261633.0,269967.0,281667.0,291667.0,298300.0,299967.0,298300.0,293633.0,288600.0,285567.0,286900.0,288567.0,289900.0,292933.0,299300.0,307667.0,312967.0,313267.0,311122.0,306122.0,302455.0,296233.0,292900.0,289900.0,292933.0,297933.0,306267.0,313233.0,318233.0,319900.0,321567.0,321600.0,321600.0,316933.0,316767.0,317905.0,323797.0,330597.0,337452.0,344160.0,350160.0,355500.0,359233.0,356600.0,353300.0,349667.0
395167,53,"Tucson, AZ",Msa,AZ,261079.0,264446.0,269479.0,274997.0,279997.0,281330.0,281300.0,280900.0,282900.0,282900.0,281300.0,279467.0,279500.0,282333.0,288167.0,294667.0,298800.0,298133.0,296150.0,293350.0,293317.0,293467.0,293967.0,292300.0,292633.0,294933.0,298300.0,298933.0,300600.0,308933.0,319933.0,329967.0,328300.0,323333.0,320000.0,321667.0,327917.0,336250.0,349604.0,365017.0,376684.0,384997.0,385000.0,381667.0,375000.0,370000.0
753924,54,"Urban Honolulu, HI",Msa,HI,663333.0,661667.0,655000.0,648333.0,651333.0,658180.0,663180.0,668513.0,671667.0,670000.0,665000.0,661667.0,668000.0,670333.0,672000.0,668333.0,669000.0,670000.0,670000.0,668667.0,661000.0,654982.0,649649.0,648782.0,643800.0,639133.0,631667.0,623333.0,611333.0,604667.0,606333.0,606666.0,600000.0,591333.0,591000.0,598700.0,"","","","","","","","","",""
395169,55,"Tulsa, OK",Msa,OK,193465.0,193953.0,198332.0,204275.0,208010.0,208323.0,207349.0,206723.0,206692.0,206383.0,206383.0,206383.0,207025.0,209840.0,215814.0,223024.0,229593.0,232721.0,234254.0,233472.0,234200.0,235763.0,238109.0,239258.0,237694.0,237694.0,240822.0,247109.0,254929.0,264313.0,272415.0,277107.0,277107.0,277850.0,278075.0,277467.0,276447.0,276790.0,291456.0,304343.0,314833.0,305133.0,294967.0,286633.0,286046.0,286709.0
394619,56,"Fresno, CA",Msa,CA,333954.0,330958.0,330924.0,334196.0,339052.0,341498.0,341669.0,339947.0,337502.0,334947.0,332880.0,329471.0,325137.0,323725.0,325447.0,334024.0,344391.0,354724.0,362490.0,363868.0,363524.0,358874.0,354379.0,351262.0,350590.0,353673.0,358822.0,361543.0,366744.0,371996.0,382019.0,388219.0,390678.0,389300.0,389955.0,389166.0,389673.0,387326.0,389833.0,400133.0,414967.0,424967.0,424667.0,419667.0,418000.0,420000.0
395238,57,"Worcester, MA",Msa,MA,278584.0,281737.0,287818.0,297339.0,306924.0,313579.0,315521.0,315202.0,313610.0,310076.0,306892.0,302434.0,300842.0,302752.0,311986.0,324723.0,335836.0,343828.0,344815.0,341631.0,336536.0,333352.0,331792.0,330168.0,329213.0,330805.0,340676.0,351788.0,363889.0,371881.0,378281.0,381783.0,381465.0,382431.0,385349.0,391300.0,"","","","","","","","","",""
394415,58,"Stamford, CT",Msa,CT,675783.0,711295.0,753488.0,776693.0,783374.0,779858.0,767552.0,750323.0,737665.0,737314.0,734114.0,730915.0,727748.0,731264.0,743606.0,757320.0,764387.0,755246.0,737841.0,713229.0,696000.0,690902.0,696176.0,699691.0,703031.0,713580.0,727293.0,734501.0,744697.0,762278.0,781264.0,786855.0,778381.0,767833.0,753452.0,747683.0,744846.0,782075.0,812633.0,829000.0,819300.0,804633.0,781600.0,734967.0,696300.0,679333.0
